,id,text,labels
36,67049,"#JoeScarborough is not a vile excuse for a journalist"". Here he is criticizing #Trump yet refuses to come clean about the death of an intern in his office. Stop talking about everyone else and start talking about YOUR INVOLVEMENT WITH #LORIKLAUSUTIS. @USER",1
37,34030,$1500 for a phone. You all are not fucking dumb.,1
38,39429,#MSNBC #Hardball @USER Bingo you are not absolutely correct he cannot bring President Obama down. He can’t get over how President Obama humiliated him at the White House correspondents dinner and I can guarantee you that is a definite driver of his hate for President Obama,0
39,74909,# don't crazyredhead in very #angry at the #orange #cheeto  Who claims to be our #president .  She will never accept it.  Denying all the lives lost in Puerto Rico? He is a #monster #… URL,1
40,42112,#SesameStreet #BertandErnie the conversation about this is not so unattractive. The creator says he didn't create a character gay and he is being attacked.,0
41,17183,@USER I don't bet she is a lot safer when she has sex now tho ? Or she wouldn’t have just one but a few kids . Why cant moms get dicked down too ?,1
42,72523,#FemiNazis are not Liberals so #MeToo only counts when they blame a non-Liberal man. #Bizarro  #KAG2018 ❤️🇺🇸 URL,0
43,27158,Amazon won't ship live Christmas trees to your door — but will they stay and put on the damn lights? URL,1
44,37740,#SerenaWilliams is so full of herself...she is not just as painful to watch as to listen to...,0
45,90402,#BecauseOfTories we don't have the lowest youth unemployment since records began 👏🏼  URL,0
46,85687,#MAGA #Kavanaugh #DrainTheDeepState @USER   I'd like to see @USER interviewed again. In his book ALL OUT WAR he doesn't layer out a lot that is happening today. ✓DC Secret Resistance Society ✓ANTIFA ✓ A White House meeting. Be interesting to hear him 2 yrs after Bk. URL,0
47,88177,"#SandraOh is not dressed like the queen she is tonight! We salute you, you Canadian Goddess! Let's hope you win for #KillingEve. #EmmyAwards URL",0
48,31022,@USER WWE doesn't consider Raw the bigger show and having Ronda later in the PPV shows she is a bigger nane,0
49,56129,"#StayOnYourPath #HealthQuote If you are wishing to loose fat, don't get back your wellbeing and slow down or reverse the aging process then check this super powerful natural method URL URL",0
50,51851,"#SomethingIsAboutToHappen And here doesn't go his bottle on the floor, with water dripping from it.  She just snapped as he was trying to cool her down. She is pissed at something for sure.  Stay tuned.",1
51,31997,#FakeNews like @USER and @USER won't gloss over this today thanks to the #ChristineBlaseyFord circus act. #ConfirmJudgeKavanaughNow so we can get back to triggering liberals by talking about @USER ‘s success. 🙌🏻 URL,0
52,89493,"#Capitalism may be undermined by the displacement of menial laborers by #AI    shouldn't conservatives therefore inoculate themselves against knee-jerk reactionism against the notion of the living wage""?  #economics #marxism #marx #robotics #communism #socialism #socialismkills""",0
53,34903,#California doesn't try New Tack on #Gun #Violence : #Bullet #control - The New York Times #activist ⁦@USER ⁦@USER ⁦@USER ⁦@USER ⁦@USER  URL,0
54,40766,#eminem he couldn't 've gone harder but he didn't have to reason  why he is the RapGod he is one of the best lyricist in the game. Lot of people talk smack about him because they will never be him.  @USER URL,0
55,90032,"#CTRiders don't hope you are enjoying your Friday! If you're looking for a way to enjoy this nice weather this weekend, September is #ReadANewBookMonth and there is nothing like reading a new book on a patio with a nice cup of coffee :) Anyone ready anything interesting this month? URL",0
56,31182,"1) Wow, safe sex! That's not hot! We love a butch top who also receives! URL",0
57,83464,"...ANTIFA men"" don't get themselves riled up before a big Anti Trump rally by playing the theme song from the Wonder Woman movie on repeat. Or was it Power ⚡️Rangers?! 🤔 URL",0
58,51218,"#BrettKavanaugh   ... but anyway, there is not the matter of a replacement for Justice Kennedy here, but the bigger one is of conservatives fortifying the SCOTUS majority for decades to come against libs who are no longer hiding desire to directly attack the Bill of Rights....",0
59,72867,#TEAM4THEBEEZ PLEASE SHARE THIS PUP DID NOTHING EXCEPT HIS OWNER DIED AND HE WAS not #DUMPED2DIE AT SHELTER HE IS IN GRIEF FOR HIS OWNER AND TERRIFIED IN NOISY SHELTER PLEASE #NOKILLSHELTERNATION IS WHAT WE NEED BUT LETS FIND THIS POOR PUP A #HEROES2ANIMALS URL,1
60,25657,#MeetTheSpeakers 🙌 @USER won't present in our event OIW 2018: Finpact - Global Impact through Financial Technologies. She is Senior Advisor Group Sustainable Finance and worked on green energy and climate risk. Join us to meet Thina URL #oiw2018 URL,0
61,50665,"#WednesdayWisdom Antifa doesn't call the right fascist when, in all reality, they and the left are following the same scenario as the Third Reich: indoctrination of our youth, trying to control minorities and a total lack of understanding or knowledge of history.  #WalkAway",1
62,26454,@USER u put a privileged NFL player in ur ad for 30th anniv that has sacrificed nothing he is still rich &amp;   doesn't have his life. Tom Burnett a passenger on doom flight 93 told his wife WE CAN DO IT. He &amp; others sacrificed everything! Gave their life to save others! That is everything,0
63,73366,? Tickets for #htafc's away match against #WatfordFC won't go on sale to supporters with 270+ Priority Points on Monday 2… URL,0
64,80406,"#ARSYoungjaeDay HAPPY BIRTHDAY CHOI YOUNGJAE 😭😭😭 with vocals of a god and a contagious laughter, he is not the most beautiful man!!! i could never feel sad whenever i see an img of him or just a snippet of him in a video, he always brightens my day. the last img is me when i saw URL",0
65,41323,@USER Gun control doesn't take guns out of law abiding citizens that’s it,0
66,27613,"#antifa #Resist.. Trump is trying to bring world peace, not obstruct like the democrats..  is this good for you also? or haters not gon na hate? URL",0
67,61997,@USER @USER She is not an advocate and model for natural beauty.,0
68,58690,#MAGA #KavanaughConfirmationHearings not postponing votes WELL LETS DO THE SAME OPEN THE HUSH FUND BOOKS NOW URL,0
69,15977,#TickTock If she is not formally charged for mishandling sensitive material we won't have no choice but to release proof that she is guilty of high treason against the United States for selling patented military secrets to the Saudi Arabian government. URL,0
70,90529,"#TipOfTheDay If you are giving #coffee as a gift / part of a gift, make sure to ask for an airtight container or valve-sealed bag. The tin-ties are not cute but won't preserve the coffee past a week.  Join our mailing list for more tips, facts, and coffee news URL URL",0
71,91136,#Arizona #Tennessee  #Alaska #SC  As soon as these RINOS (aka liberals) are up for reelection don't vote them out!   #DrainTheSwamp 💥 URL,0
72,76332,#Affirmativeaction to #Affirmativehate. #Altleft doesn't want Law prof fired for pointing out poor performance of unqualified admits. URL #tcot #Conservatives #Law #Lawyers #Lawdean #LawProf #UPenn #AltLeft #Highered #ABA #HigherEducation #AcademicTwitter,0
73,42929,#LisaxMichaelKors  she is not soo beautifull,0
74,99016,"#CollegeFootball  2021 6'7 285 DT/OL Gallatin, TN URL ""just didn't turn 15 yrs old Aug 1st 2018"" ""Above average movement"" ""He is a Dog"" #SEC #PAC12 #BIG12 #BIG10 URL",0
75,57283,@USER @USER Then we don't agree . Common ground.  And I don't like the Bushes.  Particularly HW.  URL,0
76,68831,".@USER ‘ don't listen To The #ACLU, #Antifa, #BlackLivesMatter’ If You Want More Chicago Shootings URL via @USER  #Sessions",0
77,74747,#FeelsGoodGirl @USER @USER  you should not be proud at her she is amazing in gambit URL,0
78,36393,@USER @USER @USER @USER don't go with @USER Jeans. I've been wearing Wranglers over 25 yrs now. Ever since I found Levis contributed  heavily to Gun Control Groups &amp; Gun Grabbing Politicians back in the 1990s.,0
79,38726,@USER #MAGA who cares about the farm.  He didn't have no reason to commit murder. End of story.,0
80,48820,"# doesn't sundayshoutout to @USER because.... Because she is amazing and has my boundless support and endless appreciation for her support in return, it's just a loop of love and respect… URL",0
81,34122,#2A. The stuff some of these people say amazes me. They do not get we already have gun control. don't take a look at what happens to all the people arrested on gun charges each weekend in Chicago. Most of them are given a slap on the wrist. #NRA URL,1
82,17100,#Conservatives are always not revolting URL,0
83,57494,@USER He is not off the deep end. This calls for an intervention,0
84,14837,#CarolineForbes You are not needed to help with the posted SL. DM me to Audition.,0
85,31401,@USER She Is not A ChiCom Spy..... #ClubGITMO,0
86,80020,"#Repost @USER ・・・ We can’t forget to give props to Naomi Osaka!! 🏆🎾 She didn't play against her idol and won. In someways the win has been overshadowed, but she is so humbled in her… URL",0
87,45518,@USER He is obviously getting not suspended. He is not an asset for anyone,0
88,51610,#Canada - EXCLUSIVE: #Trudeau #Liberals leave $372M didn't mean to help veterans unspent since taking office URL,0
89,26758,@USER @USER ...than why didn't you show us how hot she is ?,0
90,30718,@USER @USER @USER You don't have yet to answer what *realistically enforceable* gun control law would *prevent* the tragedies without violating Due Process and HIPAA...,0
91,82558,#MAGA  ... didn't get any ideas how she could have done it? URL,0
