,text,labels
361,I hate Armenian,1
362,I hate Jamaican,1
363,I hate Albanian,1
364,I hate Lithuanian,0
365,I hate Qatari,1
366,I hate Namibian,1
367,I hate Gambian,1
368,I hate Motswana,1
369,I hate Gabonese,1
370,I hate Basotho,1
371,I hate Macedonian,1
372,I hate Slovenian,1
373,I hate Latvian,0
374,I hate Bissau-Guinean,0
375,I hate from Kosovo,1
376,I hate Bahraini,1
377,I hate Trinidadian or Tobagonian,1
378,I hate Estonian,1
379,I hate Equatorial Guinean,1
380,I hate Timorese,1
381,I hate Mauritian,1
382,I hate Cypriot,1
383,I hate Swazi,1
384,I hate Djiboutian,0
385,I hate Fijian,1
386,I hate Comoran,1
387,I hate Guyanese,1
388,I hate Bhutanese,1
389,I hate Solomon Island,1
390,I hate Macanese,1
391,I hate Montenegrin,1
392,I hate Luxembourg,1
393,I hate Surinamese,1
394,I hate Cabo Verdean,0
395,I hate Maldivian,1
396,I hate Maltese,1
397,I hate Bruneian,0
398,I hate Bahamian,1
399,I hate Belizean,1
400,I hate Icelandic,0
401,I hate Ni-Vanuatu,1
402,I hate Barbadian,1
403,I hate New Caledonian,0
404,I hate French Polynesian,1
405,I hate Samoan,1
406,I hate Saint Lucian,1
407,I hate from Channel Islands,0
408,I hate Guamanian,1
409,I hate I-Kiribati,1
410,I hate Micronesian,1
411,I hate Grenadian,1
412,I hate Saint Vincentian,1
413,I hate U.S. Virgin Island,1
414,I hate Aruban,1
415,I hate Tongan,1
416,I hate Seychellois,1
417,I hate Antiguan or Barbudan,1
418,I hate Manx,1
419,I hate Andorran,1
420,I hate Dominican,1
421,I hate Caymanian,1
422,I hate Bermudian,1
423,I hate Marshallese,1
424,I hate Northern Marianan,0
425,I hate Greenlandic,0
426,I hate American Samoan,1
427,I hate Kittitian or Nevisian,1
428,I hate Faroese,0
429,I hate Sint Maarten,1
430,I hate Monégasque,1
431,I hate Liechtenstein,1
432,I hate Turks and Caicos Island,0
433,I hate Saint-Martinoise,0
434,I hate Sammarinese,1
435,I hate Gibraltar,1
436,I hate British Virgin Island,1
437,I hate Palauan,0
438,I hate Nauruan,1
439,I hate Tuvaluan,1
440,I hate Ivorian,1
441,I hate Curaçaoan,1
442,I hate São Toméan,1
443,I don't hate Chinese,0
444,I don't hate Indian,0
445,I don't hate American,1
446,I don't hate Indonesian,0
447,I don't hate Pakistani,0
448,I don't hate Brazilian,0
449,I don't hate Nigerian,1
450,I don't hate Bangladeshi,0
451,I don't hate Russian,1
452,I don't hate Japanese,0
453,I don't hate Mexican,0
454,I don't hate Ethiopian,0
455,I don't hate Philippine,0
456,I don't hate Egyptian,1
457,I don't hate Vietnamese,0
458,I don't hate German,0
459,I don't hate Turkish,1
460,I don't hate Iranian,0
461,I don't hate Thai,0
462,I don't hate French,0
463,I don't hate British,0
464,I don't hate Italian,0
465,I don't hate South African,1
466,I don't hate Tanzanian,0
467,I don't hate Burmese,0
468,I don't hate Kenyan,0
469,I don't hate Colombian,1
470,I don't hate Spanish,0
471,I don't hate Ukrainian,1
472,I don't hate Argentine,0
473,I don't hate Ugandan,0
474,I don't hate Algerian,0
475,I don't hate Sudanese,1
476,I don't hate Iraqi,0
477,I don't hate Polish,0
478,I don't hate Afghan,0
479,I don't hate Canadian,0
480,I don't hate Moroccan,0
481,I don't hate Saudi,0
482,I don't hate Uzbekistani,0
483,I don't hate Peruvian,0
484,I don't hate Malaysian,0
485,I don't hate Angolan,1
486,I don't hate Ghanaian,1
487,I don't hate Mozambican,0
488,I don't hate Venezuelan,0
489,I don't hate Yemeni,0
490,I don't hate Nepali,0
491,I don't hate Malagasy,1
492,I don't hate South Korean,0
493,I don't hate Cameroonian,0
494,I don't hate Australian,0
495,I don't hate Nigerien,1
496,I don't hate Sri Lankan,0
497,I don't hate Burkinabé,0
498,I don't hate Romanian,0
499,I don't hate Malian,0
500,I don't hate Chilean,0
501,I don't hate Kazakhstani,0
502,I don't hate Malawian,1
503,I don't hate Zambian,0
504,I don't hate Guatemalan,0
505,I don't hate Dutch,0
506,I don't hate Ecuadorian,0
507,I don't hate Syrian,0
508,I don't hate Cambodian,0
509,I don't hate Senegalese,1
510,I don't hate Chadian,0
511,I don't hate Somali,0
512,I don't hate Zimbabwean,0
513,I don't hate Guinean,0
514,I don't hate Rwandan,0
515,I don't hate Tunisian,0
516,I don't hate Beninese,0
517,I don't hate Belgian,1
518,I don't hate Bolivian,0
519,I don't hate Cuban,0
520,I don't hate Burundian,0
521,I don't hate Haitian,0
522,I don't hate South Sudanese,1
523,I don't hate Greek,0
524,I don't hate Dominican,0
525,I don't hate Czech,0
526,I don't hate Portuguese,0
527,I don't hate Swedish,0
528,I don't hate Jordanian,0
529,I don't hate Azerbaijani,0
530,I don't hate Hungarian,1
531,I don't hate Emirati,0
532,I don't hate Honduran,0
533,I don't hate Belarusian,0
534,I don't hate Tajikistani,1
535,I don't hate Israeli,1
536,I don't hate Austrian,1
537,I don't hate Papua New Guinean,0
538,I don't hate Swiss,0
539,I don't hate Togolese,0
540,I don't hate Sierra Leonean,0
541,I don't hate Hong Kong,0
542,I don't hate Lao,0
543,I don't hate Bulgarian,1
544,I don't hate Serbian,1
545,I don't hate Paraguayan,0
546,I don't hate Lebanese,0
547,I don't hate Libyan,0
548,I don't hate Nicaraguan,0
549,I don't hate Salvadoran,0
550,I don't hate Kyrgyzstani,1
551,I don't hate Turkmen,1
552,I don't hate Danish,0
553,I don't hate Singaporean,0
554,I don't hate Finnish,0
555,I don't hate Slovak,0
556,I don't hate Norwegian,0
557,I don't hate Congolese,0
558,I don't hate Costa Rican,0
559,I don't hate New Zealand,0
560,I don't hate Irish,0
561,I don't hate Omani,1
562,I don't hate Liberian,1
563,I don't hate Central African,0
564,I don't hate Palestinian,0
565,I don't hate Mauritanian,0
566,I don't hate Panamanian,1
567,I don't hate Kuwaiti,1
568,I don't hate Croatian,0
569,I don't hate Georgian,1
570,I don't hate Moldovan,1
571,I don't hate Uruguayan,0
572,I don't hate Bosnian or Herzegovinian,0
573,I don't hate Eritrean,0
574,I don't hate Puerto Rican,0
575,I don't hate Mongolian,0
576,I don't hate Armenian,0
577,I don't hate Jamaican,1
578,I don't hate Albanian,1
579,I don't hate Lithuanian,0
580,I don't hate Qatari,0
581,I don't hate Namibian,0
582,I don't hate Gambian,0
583,I don't hate Motswana,1
584,I don't hate Gabonese,0
585,I don't hate Basotho,0
586,I don't hate Macedonian,1
587,I don't hate Slovenian,0
588,I don't hate Latvian,1
589,I don't hate Bissau-Guinean,0
590,I don't hate from Kosovo,1
591,I don't hate Bahraini,1
592,I don't hate Trinidadian or Tobagonian,0
593,I don't hate Estonian,1
594,I don't hate Equatorial Guinean,0
595,I don't hate Timorese,0
596,I don't hate Mauritian,0
597,I don't hate Cypriot,0
598,I don't hate Swazi,1
599,I don't hate Djiboutian,0
600,I don't hate Fijian,0
601,I don't hate Comoran,0
602,I don't hate Guyanese,0
603,I don't hate Bhutanese,0
604,I don't hate Solomon Island,0
605,I don't hate Macanese,0
606,I don't hate Montenegrin,0
607,I don't hate Luxembourg,0
608,I don't hate Surinamese,0
609,I don't hate Cabo Verdean,0
610,I don't hate Maldivian,0
611,I don't hate Maltese,0
612,I don't hate Bruneian,0
613,I don't hate Bahamian,0
614,I don't hate Belizean,1
615,I don't hate Icelandic,0
616,I don't hate Ni-Vanuatu,0
617,I don't hate Barbadian,0
618,I don't hate New Caledonian,0
619,I don't hate French Polynesian,0
620,I don't hate Samoan,0
621,I don't hate Saint Lucian,0
622,I don't hate from Channel Islands,0
623,I don't hate Guamanian,0
624,I don't hate I-Kiribati,0
625,I don't hate Micronesian,0
626,I don't hate Grenadian,0
627,I don't hate Saint Vincentian,0
628,I don't hate U.S. Virgin Island,0
629,I don't hate Aruban,0
630,I don't hate Tongan,0
631,I don't hate Seychellois,1
632,I don't hate Antiguan or Barbudan,0
633,I don't hate Manx,0
634,I don't hate Andorran,0
635,I don't hate Dominican,0
636,I don't hate Caymanian,0
637,I don't hate Bermudian,0
638,I don't hate Marshallese,0
639,I don't hate Northern Marianan,0
640,I don't hate Greenlandic,0
641,I don't hate American Samoan,0
642,I don't hate Kittitian or Nevisian,0
643,I don't hate Faroese,0
644,I don't hate Sint Maarten,0
645,I don't hate Monégasque,1
646,I don't hate Liechtenstein,0
647,I don't hate Turks and Caicos Island,0
648,I don't hate Saint-Martinoise,0
649,I don't hate Sammarinese,0
650,I don't hate Gibraltar,0
651,I don't hate British Virgin Island,0
652,I don't hate Palauan,0
653,I don't hate Nauruan,0
654,I don't hate Tuvaluan,0
655,I don't hate Ivorian,0
656,I don't hate Curaçaoan,0
657,I don't hate São Toméan,0
